id,batch,longDescription,country,tags,status
644,W14,Whirlscape high-tech startup with roots in human-computer interaction (HCI) and advanced machine learning/computational linguistics.,Canada,['Deep Learning'],Inactive
638,W14,"Develop Better Software, Faster!

AirPair is an extensive network of experts with deep knowledge across many technology stacks and solutions. AirPair accelerates software development by ""pairing” experts with your engineers in real-time via video and screen sharing, leading to better teams and better software that’s produced faster, and at lower costs.  

To find an expert, visit => www.airpair.com/find-an-expert",United States of America,['Remote Work'],Inactive
635,W14,ZowPow is a Wireless toy game controllers for mobile games.,United States of America,['Gaming'],Inactive
629,W14,"Unicorn.ly is an angel investing platform to help angels collaborate to source, evaluate, mentor, and invest in the most promising startups.",United States of America,"['Fintech', 'Investing']",Inactive
627,W14,"TerrAvion provides high revisit rate aerial imagery for agriculture.  Since 2016 we have been the largest volume provider.  


TerrAvion Aerial is the best value for growers in imagery:  
   -Imagery helps you to act in season in a comprehensive and quantitative way
   -Satellites aren't reliability and lack sufficient resolution for agronomic decision-making
   -Drones don't scale, and thus are expensive and a hassle
   -TerrAvion beats all competitors on cost/value, flight rate, reliability, speed, and open API
   -TerrAvion's service allows imagery to be used in tangible value creating use cases with agronomic support

TerrAvion creates the most value for our agronomic partners:
   -Excellent margins are possible when customers are concentrated, still affordable when in new markets
   -Our program allows for bundling, particularly with agronomic recommendations
   -We stay out of the advice and prescription side of things to make our agronomic partners stars
   -Partners have full access to API with all data we collect for use in all their applications
   -We handle the technical aspects of aerial imagery delivery and education with in-field support under our co-delivery model",United States of America,"['Drones', 'Agriculture']",Inactive
625,W14,Style Lend is a marketplace for luxury fashion rentals. Members can monetize their closets by listing their items directly on the iOS app or the website. And other members can rent them directly for a 7 day period. ,United States of America,['Marketplace'],Inactive
624,W14,"The Edyn smart garden system lets you know what’s happening in your garden at all times. Whether you’re a novice gardener or managing a small-scale organic farm, Edyn is there to take the guesswork out of gardening. Inserted in the soil, the Edyn Garden Sensor gathers and analyzes data about changing weather and soil conditions. The Edyn App displays this data as a real-time snapshot of your garden, and pushes alerts and suggestions to maximize plant health. A separate component, the Edyn Water Valve, uses the data collected by the sensor to smartly control your existing watering system, watering your plants only when needed. With advanced tracking technology and intuitive design, the Edyn smart garden system keeps you connected to your garden or farm so you can grow healthier plants.",United States of America,"['IoT', 'Agriculture']",Inactive
623,W14,,,"['E-Commerce', 'Retail']",Inactive
621,W14,"MerryMint helps you discover and book virtual activities & experiences that your team can do together from home. Learn or experience something new from expert guides. 
",United States of America,"['Team Collaboration', 'Remote']",Inactive
607,W14,"HoverChat is an app focused on making messaging more of a multi-tasking experience and allow users to use the messaging service without interrupting their work flow.

The app is currently available on Android phones.",United States of America,['Messaging'],Inactive
605,W14,"Move Loot offers a much-needed service to individuals buying and selling used furniture. There is currently no option in the market that optimizes your time and money while offering this unique user-friendly experience. We realize that in order to avoid the hassle, you end up buying new... harming your wallet and the planet! 

Move Loot solves your dilemma by creating an online marketplace where users can post furniture to sell, find furniture to purchase, and select delivery personnel to complete the process.  Imagine online shopping meets ride-sharing meets an ice cream sandwich!",United States of America,"['Marketplace', 'Furniture']",Inactive
601,W14,"MadeSolid is a hardware company that develops high-quality materials with 3D printing applications. With a team of experienced chemists and engineers, the MadeSolid develops functional materials for 3D Manufacturing real products. MadeSolid is based in Emeryville, California.",United States of America,"['3D Printing', 'Advanced Materials']",Inactive
593,W14,"Drive Pulse is an innovative new device & iPhone app to manage & monitor your cars when you can't be there.

Your Drive Pulse plugs into your car's data port in seconds. Every car built after 1996 has an OBD-II data port under the dash. Plug in your Drive Pulse, install the app, and get started in just a few minutes.

Drive Pulse is always on and stays connected thanks to cellular technology and a data plan, similar to the one you have for your smartphone. As long as your car is in an area with adequate T-Mobile data coverage, you can enjoy the peace of mind knowing that your car is safe.",United States of America,"['Hardware', 'IoT']",Inactive
592,W14,"Yumbins are mobile POS-powered self-checkout markets that offer a curated mix of the highest quality and healthiest snacks, beverages and essentials to office employees. Think of us as the Square for self-checkout meets on-site mini-Whole Foods.

Vending is a stagnant $43 billion industry that has suffered from expensive proprietary hardware, onerous payment acceptance and limited (often wildly unhealthy) selection. We replace this hardware with lightweight software that enables customized product selection and seamless checkout. Offices no longer need to sully their breakrooms with unsightly machines selling stale snacks; rather, they can enjoy the clean and minimal retail look of our Yumbins chock full of delicious products. 

Initially, we are targeting workplaces where employees pay for snacks, which are the large majority of corporate offices and manufacturing facilities. 1.2M of these sites fall into our target market, of which roughly 50% have vending machines today.",United States of America,['Food & Beverage'],Inactive
591,W14,We're a Y Combinator W'14 class. We use matchmakers to set up group dates. What Uber has done for transportation - we're doing for dating. Members can book high quality dates on their schedule with the click of a button. Dating Ring is live in NYC and SF and will be launching next in Boston and LA.,United States of America,['Dating'],Inactive
589,W14,Threadable is a mailing list management solution that makes group email less noisy and more actionable.,United States of America,"['Messaging', 'Email']",Inactive
584,W14,"FutureLeague (previously known as Camperoo) teaches kids ages 6-12 engineering and programming with a focus on teamwork, creativity, and design thinking. Kids level up in skills while participating in hands-on projects to reach 100 hours of instruction, similar to going from white belt to black belt in martial arts. They also host corporate team building events with Fortune 500 companies to foster design thinking and innovation.

FutureLeague is a Y-Combinator backed startup based in SOMA, San Francisco.  Emmie Chang, CEO/ Founder, previously created the largest summer technology camp in Texas and math ed-tech software that was used in over 35 school districts serving hundreds of thousands of students.",United States of America,"['Education', 'Kids']",Inactive
579,W14,"Awesometalk is based out of San Francisco. We provides simple, free video calling.

We are insanely focused on making communication simple. We don’t like logging in, remembering passwords, or teaching our parents how to use Skype. Don't suffer the ""add me on Skype dance"" anymore!",United States of America,['Video'],Inactive
733,S14,"Zenamins is a comprehensive online vitamin subscription service that is personalized and designed specifically with the individual in mind. Zenamins was designed to make vitamin-taking easier, safer and more convenient. Simply select the vitamins, minerals and supplements you want or use the special online guide to determine which ones are best for you. Every four weeks subscribers receive a new Zenamins pack in the post. Zenamins uses pharmacy-grade technology to custom pack vitamins into daily doses, while all vitamins and supplements are of the highest quality and mostly softgels, as these have shown to have 4x the absorption.",United States of America,['Health & Wellness'],Inactive
726,S14,"Beep makes small, cloud-connected wireless sensors that run on batteries for 10 years. Just place a Beep Sensor where you want it and your data shows up in the cloud. Beep Sensors report their location (GPS), temperature, moisture, pressure, altitude, and motion. They have ports to plug in any other type of sensor you want (e.g., gas, soil, microphone, or camera).",United States of America,"['IoT', 'Telecommunications']",Inactive
725,S14,"Zoomer is a venture backed, technology and logistics startup focused on helping high volume delivery restaurants wow their customers and grow their business. We've taken a unique approach to changing the food delivery space and it's starting to pay off. Zoomer has stayed out of the spotlight so you won't find much about us online, but our charts are going up and to the right in impressive fashion and more importantly, we are growing and working with more and more restaurant partners, driver partners & hungry diners each day. We are backed by some of the best investors in the world including Foundation Capital, Y Combinator (S14), First Round Capital, SV Angel, Eric Ries and others. 

Zoomer connects high volume delivery restaurants with independent delivery drivers. Our platform has been built to handle an extraordinarily high volume of concurrent deliveries. Restaurants leveraging the Zoomer platform are able to provide a better & more consistent delivery experience for their customer, which ultimately leads to a stronger bottom line. Independent drivers on the Zoomer platform have the ability to create their own schedule & increase their own efficiency, resulting in more earnings.  And of course, customers receive their orders dramatically faster than the status quo.

This is your opportunity to get in on the ground-floor. You’ll have a ton of impact – lots of freedom to evolve our processes, systems, partners, platform, stack and apps. We’re currently hiring across a number of teams,  there’s a full listing of our open roles at www.zoomerdelivery.com",United States of America,"['Delivery', 'Logistics', 'Food & Beverage']",Inactive
723,S14,"Our mission is powering prosperity around the world. We build intuitive web, mobile, and cloud solutions that generate more money, more time, and more confidence for 46+ million people. Leveraging big data insights, machine learning, and powerful automation, we help consumers, small business owners, and the self-employed achieve their dreams of prosperity.

Whether you work on our product and technology teams or in any role across the globe, you’ll play a part in designing and launching industry-leading products like Mint, TurboTax and QuickBooks in an agile environment with fast moving teams.  Learn how your ideas will shape our ecosystem of products and make a giant impact.

Our culture and entrepreneurial spirit have earned us a spot on Fortune’s “Best Companies to Work For” year after year, as well as many other recognitions across the globe. Join us in powering prosperity around the world.

Career Areas: Software Engineering, Product Management, Mobile, UX / User Design, Data, QA, IT, Marketing, Sales, Finance, Tax, and more.",United States of America,"['Fintech', 'Insurance']",Inactive
721,S14,"Whirl's proprietary payment terminal allows customers to pay with a fingerprint in just 1 second. It is the fastest and most secure method of payment on the market, offering the security of a chip card with a nearly invisible payment experience.

Just a single press to the payment terminal, and payment is complete.",United States of America,"['Biometrics', 'Payments']",Inactive
720,S14,"Weave delivers a personalized professional introduction every week (YCS14)

Follow us :)
Twitter: @startweaving, #startweaving
Facebook: weavenetworking
Website: http://www.weave.in/
Email: lisa@weave.in

Happy Weaving!

The Weave Team",United States of America,['Artificial Intelligence'],Inactive
716,S14,"Tinker is a cryptocurrency electronic trading & market making firm, founded in 2014. At our peak we've processed $10m+ in daily volumes and represented 10-20% of all BTCUSD trading on regulated exchanges.",Canada,['Crypto / Web3'],Inactive
713,S14,"Think Gaming uses data science to connect the best mobile freemium games with publishers and investors that can help them grow.

We've analyzed 5000+ games using a proprietary data set to find the keys to predictable success. Our free Scouting Reports compare games to top grossing peers and assess their likelihood of becoming the next billion dollar mobile game.",United States of America,"['Gaming', 'Analytics']",Inactive
712,S14,"Paid is an API for invoicing.  Paid helps company manage their accounts receiving with a seamless integration into any tech stack.  We help you track expenses, generate & issue invoices, remind customers of outstanding payments and reconcile your accounts—all with about 30 minutes development time.

API - Automate Everything
Paid allows you to automate every step of your accounts receivable.  In a few lines of code you can create invoices, issue them, and accept payments.  Paid makes the invoicing/billing process fully automatic, freeing up time to focus on core business responsibilities.

Customize Everything
Your company, your way of doing things.  Paid is fully customizable from branding, billing terms, payment methods and more.  Paid can be adapted to any business model.

Track Everything
How much revenue is currently outstanding? How much is overdue? Who has already paid and does so on a regular basis? Everything you and your Finance Department need can be seen on our dashboard and exported for Accounting.

Grow With Paid
Whether it’s 10 or 10,000,000 invoices, Paid has a solution that will enable you to scale without the normal growing pains.",United States of America,['Fintech'],Inactive
710,S14,"A community that finds the best new items in fashion.   Each day, HauteDay focuses on a specific fashion theme that our community then organizes into a shoppable collection.   

One of the most exciting aspects to HauteDay is that we are bringing attention and customers to some of the most innovative and up and coming fashion brands from around the world.",United States of America,['Gaming'],Inactive
707,S14,"SalesSift (formerly known as LeadFinch) is an intelligent lead-sourcing platform.

Our machine learning algorithm recommends the best new companies to target based upon the profile of your existing customers.",United Kingdom,"['Artificial Intelligence', 'Machine Learning', 'Sales', 'Marketing', 'CRM']",Inactive
706,S14,"Shout is a one-to-one exchange platform that enables its users to post classifieds to sell tickets and reservations.

It also has developed an iOS application that enables its users to communicate in real time with the sellers and handle payments online.",United States of America,['Marketplace'],Inactive
701,S14,"Roost is the first to provide push notifications for websites.  Power your web engagement and audience growth with cutting edge technology.  Powerful feature sets including geolocation, A/B testing, and personalization. 

Currently supports Chrome and Safari browsers on Windows, Mac, and Android. Firefox support is coming soon.  

Roost is a Y Combinator backed company located in NYC.",United States of America,,Inactive
698,S14,"Ditch your bare-bones, high-fee checking account. You deserve free and powerful everyday banking.

Nearly 3 out of 4 millennials would rather go to the dentist than listen to their bank. While it's possible that we just really love our oral hygiene, it's more likely that we don't trust or like our banks.

It's not hard to understand why. Big banks use big budgets and armies of salespeople and marketers to sell old-school products layered with fees and penalties. Their profits increase when we spend more, overuse debt, and make mistakes like overdrafting.

Big banks get away with this because banking is such a vital service. Everyday spending and saving decisions that begin at the checking account ultimately determine whether we'll lead a healthy and secure financial life.

What can be done? Bill Gates believes banks aren't necessary for banking. Millennials believe technology companies can make banking better. So let's build a better bank. Cheddar is a new mobile bank account, debit card, and business model to free the world from underpowered checking accounts and evil banks.",,"['Fintech', 'Neobank']",Inactive
696,S14,"In Your Corner is a marketplace for online counseling and coaching services. Through a secure, HIPAA-compliant platform, our service connects users with a carefully curated team of wellness professionals. By conducting online consultations via video chat, written journals, and even texting sessions, we have transformed traditional therapy into an experience that is low-cost, convenient, and completely confidential.

Everyone can benefit from an objective perspective during difficult times, but the current model for supportive services is broken due to insurance gridlock, a clunky referral system, long wait times and unsustainable costs. Our web-based approach offers valuable guidance through accessible and anonymous means. Users log in to secure accounts and speak with licensed professionals on a variety of topics—relationship conflict, job stress, etc.—from anywhere at any time. With our proprietary technology, we have removed every barrier to entry and created an outlet for millions who wouldn’t have sought emotional health services otherwise, reducing stress for an increasingly stressed-out generation. This is the future of mental health. 

The shift in moving counseling services online is inevitable and our product is already in demand: After a successful pilot with Pretty Padded Room, an online therapy website specifically targeted towards millennial women, we are excited to relaunch as In Your Corner, an aspirational brand that provides the very best in counseling, coaching, and calm. In Your Corner improves on our original offering by being more gender-inclusive and convenient. In addition to developing a mobile app to provide one-tap, on-demand support in real time, users also have access not only to licensed mental health counselors, but also coaches in personal and professional development as well as instructors of meditation and breath work.",United States of America,"['Mental Health Tech', 'Telehealth', 'Digital Health']",Inactive
692,S14,"Nightingale is the clinical decision support solution for evidence-based interventions. We're committed to ensuring that service providers for individuals with autism and related disorders are equipped to administer high quality, personalized treatment.

According to the CDC, 1 in 68 children in the U.S. are now diagnosed with autism, contributing to an estimated 1.5 million Americans living with the condition. Although autism has no known cure or scientifically proven pharmaceutical treatment, its symptoms can be abated and maintained through rigorous evidence-based interventions like applied behavior analysis, speech-language pathology, and occupational therapy. 

Nightingale provides these practitioners with a suite of tools for HIPAA-compliant data collection,reporting, and analytics that can be customized to any curriculum and used in any setting. By equipping service providers with a convenient and user-friendly solution for data management and analytics, Nightingale frees up more of their time for creating high-quality curriculums and working with clients.",United States of America,"['Education', 'Health Tech']",Inactive
690,S14,"Neptune is an observability startup that offers one-stop incident enrichment and automation platform for IT Operations and DevOps teams.

It is a fact of life that servers and applications go down causing IT outages. Today most of the IT incident response is manual, tedious and lengthy resulting in more downtime and losses for businesses. At the same it's very painful for a DevOps engineer to wake up at midnight and on weekends to deal with server and application alerts. 

Enter Neptune, which lets a DevOps engineer automate his incident response steps --Troubleshooting + Resolution + Documentation,  so that he/she can fix the incidents in minutes instead of hours. So it's a win-win deal : For businesses downtime is minimized, and for DevOps engineers they need not worry about a deluge of alerts and midnight wake up calls.

Big companies like Amazon, Facebook etc built sophisticated incident response tools to achieve high availability and resiliency. We have architected and built one such tool for AWS. Now Neptune is making one such tool available for everyone. 

Give it a try at www.neptune.io",United States of America,"['AIOps', 'DevOps', 'Monitoring']",Inactive
689,S14,"Y-Combinator (S14)

A/B test your videos, articles, and images on Facebook, and automatically publish the best version everywhere. Get started at www.naytev.com.

Testing is every top social team's secret weapon.
It's no secret that standing out in the News Feed has become more difficult. That's why elite content teams test how the content they post to Facebook will appear.

We help the top brands and publishers in the world stand out in the noise and reach larger audiences. With Naytev's cutting-edge techniques, you can run expert-level tests in a matter of minutes.

Already an expert? We can help you scale your test volume and improve the quality of your tests.",United States of America,"['SaaS', 'Social Media', 'Marketing']",Inactive
679,S14,"VizeraLabs' current project, Vizera, is a smart projection device that performs accurate projections on physical objects. The current primary application of this technology is fabric simulation for furniture stores. The Vizera Projector has the potential to assist both consumers and retailers in the fabric selection process.",United States of America,['Furniture'],Inactive
674,S14,"The TAXA platform has been specifically designed to enable anyone to perform metabolic engineering of plants without stepping into a lab. We provide access to protein engineering, DNA assembly, transient experiments and stable transformation as a service. The best thing is that anything ""Powered by TAXA"" is designed to be free from expensive regulatory approval, meaning the products are available for sale or distribution to consumers in the United States immediately after they are developed. For a detailed list of the experiments which can be run on our platform please see the Services page.

Our vision is a world where bio-engineering is as easy and commonplace as mobile application development is today. Game-changing technologies, like genetic engineering, should not be the exclusive preserve of large corporations and a wealthy elite. Democratizing the tools of creation enables anyone, anywhere, to genetically engineer plants and will unleash a wave of creativity to power an environment where ultimately what we create is limited only by our imagination.  The TAXA platform is our next step in the realization of that dream

We are also the team behind the first synthetic biology crowdfunding project, raising $484k on Kickstarter to make real glowing plants: www.glowingplant.com",United States of America,"['Agriculture', 'Genetic Engineering', 'Biotechnology']",Inactive
672,S14,"Go flying with local pilots.

Thousands of private pilots fly every day with empty seats in their planes. We connect you with them so you can join in their same day, round trip adventures! Whether it be a common destination, lunch at an airport restaurant, or another day trip, Flytenow makes it possible to get off the ground and go on an adventure.",United States of America,['Air Taxis'],Inactive
669,S14,"Fixed is the easiest way to fight a parking ticket.

YOU HAVE A RIGHT TO FIGHT
Up to 50% of tickets are dismissed when challenged.

OUR EXPERTS CAN HELP
We built a team of experts that know the parking rules inside-out.

JUST TAKE A PHOTO
Upload your ticket as a photo. We will take care of the rest.

NO FEE TO CONTEST
We only charge 25% of the fine if you win. You have nothing to lose.",United States of America,['LegalTech'],Inactive
668,S14,"OwnersCircle provides small business owners with the online tools and financial information that they need in order to navigate the complex world of business financing.

The reality is that there is no easy way to search for small business financial products, which creates a headache for already time-strapped business owners. Recent reports show that owners spend an enormous amount of time (25 hrs on average) searching and applying for loan products, with many focusing on lenders that have high rejection rates and long, complex processes.

There's a better way! There are a growing number of banks and alternative lenders that want to work with small businesses and are willing to compete for their business. Our platform provides owners with the information they need in order to identify, compare, and apply for financial products that can help take their business to the next level.


Why Use OwnersCircle?

1. Get access to free, online tools to identify financial institutions that actively lend to growing small businesses
2. Shop and compare a variety of lenders and their loan products 
3. Use one platform to complete your financing search versus spending countless days researching and completing lender applications only to find out you're not a fit
4. Free access to our team of funding consultants to answer any questions you may have throughout the process


What Types of Business Financial Products does OwnersCircle Include?

- Lender Types: Local Banks and Alternative Lenders
- Product Types: SBA Term Loans, Bank Term Loans, Alternative Term Loans, Asset-based Loans and more


Why Would I Need Business Financing?

New location or remodel current space
Purchase inventory
Purchase equipment
Hire additional employees
Manage cash flow
Refinance/consolidate current debt
Marketing and advertising",United States of America,['Crowdfunding'],Inactive
667,S14,"Doblet is the world’s first network of batteries on demand for charging phones everywhere. The company’s mission is to provide portable power anywhere consumers happen to be. Using patent-pending technology and the Doblet mobile app on iOS or Android devices, users are instantly notified of the nearest place to pick up a charge the moment their batteries start to run low. Consumers can charge their smartphones while on the go at over 1,000 San Francisco Bay Area cafes, bars, and restaurants.",United States of America,['Hardware'],Inactive
657,S14,"Bikanta is introducing revolutionary nanodiamond-based technology to push the boundaries of current medical imaging and diagnostics, allowing researchers to answer questions and medics to detect diseases that they currently cannot.

A nanodiamond is forever. They are brightly fluorescent, infinitely stable, non-toxic, functionalizable and can be used for background-free optical imaging.  Early results have improved the signal by as much as 100-fold over conventional fluorescence imaging techniques.   Bikanta’s vision is to redefine the boundaries of medical diagnostics by delivering cutting-edge imaging probes and background-free optical imaging.",United States of America,['Nanomedicine'],Inactive
656,S14,,,"['Neurotechnology', 'Health Tech']",Inactive
654,S14,"Bannerman helps businesses hire and manage security guard services. Our technology eliminates busywork and human errors so we can provide a more reliable security experience. Our customers have total transparency into the guard schedules, attendance, and incident reporting. We’re the only place where you can instantly book security guard services in all 50 states. ",United States of America,['Security'],Inactive
835,W15,"Founded in 2012, Transcriptic has developed the first robotic cloud lab platform for on-demand life science research. It’s powered by the Transcriptic Common Lab Environment (TCLE) a scalable, digital infrastructure that integrates laboratory processes, instruments and IoT technologies into a single user interface. Researchers can carry out scalable, reproducible and rapid experimentation from anywhere in the world. 

Top ten pharmaceutical companies, as well as emerging biotech companies, are using the platform to gain more reproducibility and flexibility in the design and control of their experiments. By leveraging cloud-based technologies, users can access the power of a fully automated laboratory – whether in their own labs through an on-premise deployment of TCLE or through Transcriptic’s Bioassays services – all through a simple web-based interface. 

Transcriptic is transforming drug discovery and synthetic biology research by helping scientists focus on accelerating discoveries instead of labor-intensive bench work.",United States of America,"['Robotics', 'Biotech']",Inactive
826,W15,"Priime's founding team of lifetime photographers are made up of Y Combinator alumni who are also seasoned developers and designers. Combining our passion in photography, with our experience and skills of product design and development, we are setting out to lead the world in improving the overall quality of shared photos.",United States of America,,Inactive
854,W15,"At ThinAir They are building the future of data security--and it's wrought with exciting engineering challenges!

As a cloud-based SaaS product, ThinAir is the first data security solution that allows everyone—administrators and employees alike—to take control over their most sensitive data in a way that enhances, not hinders their productivity.

They were the 2014 DEMO Enterprise's DEMOGod Winner and they completed Y Combinator as part of W15.",United States of America,"['Cybersecurity', 'Enterprise']",Inactive
852,W15,"Founded in 2012, Nomiku invented the home sous vide immersion circulator and are make it connected. 

Proudly manufactured in the United States, Nomiku’s quality is renowned in the culinary world and put to the test in thousands of homes and the best restaurants in the world every night.

Chefs on Main Street, Michelin-starred restaurants, and most everywhere in between have been dazzling diners with their sous vide creations for years. Nomiku led the way for people to use it at home in 2012 with the invention of the home sous vide immersion circulator funded by two successful Kickstarter projects totaling over $1.3M raised. They turned this modernist gadget into a useful everyday kitchen tool by dramatically reducing the price of the machine and redesigning it from the bottom up for at-home functionality. Five years later, the sous vide machine is turning into a mainstream darling and the advent of the Nomiku Sous Chef Meal delivery program (launching on May 15, 2017) breaks the last barriers to make sous vide accessible to everybody.
 
The Nomiku Sous Chef launch comes at the heels of Samsung Ventures participating in an investment round in the startup. Nomiku is a partner of the Samsung Family Hub 2.0 program and allows for app integration into their smart kitchen offering.",United States of America,['Food Tech'],Inactive
850,W15,"On a mission to automate, optimize, and unify your digital advertising campaigns with incredible software.",United States of America,"['Analytics', 'Advertising']",Inactive
845,W15,"At Lully, we’re building the children’s sleep company. We create innovative, thoughtfully-designed, clinically-proven consumer products to help children, and their families, sleep better. 

Our first product, The Sleep Guardian is the only solution for night terrors. Based on our patented, clinically-proven technology, the Sleep Guardian goes under the mattress and uses precisely-timed vibrations to avoid night terror episodes completely. 

The Sleep Guardian is just the initial product in a suite of smart solutions based on our process: combining a user-centric approach with a clinical understanding of sleep to solve unmet problems in children’s sleep. 

Based in San Francisco, Lully was founded by Dr. Andy Rink, a doctor and father, and Varun Boriah, a medical device entrepreneur. 

Lully was spun out of the Stanford Biodesign Fellowship and is backed by Y Combinator, Two Sigma Ventures, Stanford-StartX Fund and Highway1. We’ve partnered with Stanford Sleep and Riley Children’s Hospital in our goal to help families sleep better.",United States of America,"['Sleep Tech', 'Health Tech']",Inactive
843,W15,"Bagaveev Corporation is a startup backed by Adam Draper's Boost accelerator (boost.vc)

and advised by Tim Draper (dfj.com) is designing, building and testing

3D printed aerospike rocket engines that will power both lower and upper stages

of a 3-ton, 35 foot rocket, designed to deliver 10-12 kg nanosatellites

to low Earth orbit and Sun-synchronous orbit.",United States of America,"['Space Exploration', 'Satellites']",Inactive
839,W15,"Wink Health is a simple and effective way to get treatment for sleep apnea online. About 90% of people with sleep apnea go untreated. Our goal is to remove the barriers to getting diagnosed and receiving treatment.

We do this through a combination of a smartphone app that 'listens' for sleep apnea risk, telehealth consultations with doctors, and treatments shipped to people's homes.",United States of America,"['Sleep Tech', 'Health Tech']",Inactive
838,W15,"Currently servicing the San Francisco Bay Area, Los Angeles, New York, Chicago, Washington DC, Baltimore, Atlanta, New Orleans and Tampa Bay.

VetPronto is a new type of Veterinary Service dedicated to providing the most quality, convenient and transparent veterinary care possible. We're empowering vets across the country to better serve their patients. 

We treat pets at the home or workplace, saving them stress, and you time. We're using tech to provide a new standard of medical record management, client communication, and operational efficiency, including telemedicine and pharmacy integration.",United States of America,['Healthcare'],Inactive
832,W15,"We are multiplying the potential of the real world by making computer vision accessible to all.

We create the cloud and edge tools that developers and non-developers require in order to build, deploy, and improve CV solutions quickly.

standardcyborg.com (YC W15)",United States of America,"['Machine Learning', 'Computer Vision', 'Open Source']",Inactive
831,W15,"Spoil fundamentally changes the way people interact with each other. Spoil brings people closer to on another through genuine gestures that are fueled by technology. 

With a tool that empowers its users to engage in positive human interaction, Spoil inspire them to give, and enhances how they receive. Using technology, Spoil predicts what makes someone happy and leverages on-demand logistics to make it happen. 

With Spoil you can make anyone happy as easily as calling an Uber.

Spoil is all about the experience we provides to both the sender and the recipient. Focusing on how we want the recipient to feel, each step of the process leverages the right emotions and builds a story around the Spoil being received. This makes sending a Spoil a thoughtful gesture as opposed to just an exchange of items.

Spoil help individuals and corporations acknowledge people around them through genuine gestures. It is the only medium accessible to everyone that builds simple, contagious and ubiquitous happiness. 

Because, we believe that everyone should be Spoiled.",United States of America,['Social'],Inactive
828,W15,Rescue Ops is a digital forensic that archives massive quantities of data from classified advertisement websites specializing in commercial sex ads for law enforcement agencies to use in anti-trafficking investigations.,United States of America,"['Analytics', 'Security']",Inactive
