id,batch,longDescription,country,tags,status
590,W14,"Cruise is building the world’s most advanced, all-electric, self-driving car technology to safely connect people with the places, things, and experiences they care about. Self-driving cars will help save lives, reimagine cities, redefine time in transit, and restore freedom of movement for individuals who live in dense urban settings. Acquired by GM in 2016.",United States of America,"['Autonomous Delivery', 'Machine Learning', 'Climate', 'AI', 'Self-Driving Vehicles']",Acquired
640,W14,"Unbabel is an AI Centric Language Operations Platform that eliminates language barriers so that businesses can grow across markets. Our platform enables anyone to easily create flexible translation pipelines for any language or type of content in a scalable way. The pipelines combine best in class AI components, such as our Machine Translation and Quality Estimation, with different levels of human-in-the-loop capabilities, such as human translation and human annotations. The result is an easy to use, super scalable platform for Language Operations that can easily go from real time translation using adapted machine translation to high end human transcreation. 

Based in San Francisco, Unbabel works with hundreds of businesses such as Lego, Logitech, Microsoft, Warner Bros, Virgin Pulse, Booking.com or Under Armour, to communicate effortlessly with customers around the world, no matter what language they speak.",United States of America,,Acquired
611,W14,"Theorem conducts independent underwriting of consumer loans originated by banks, credit cards companies and other lenders. We utilize this information to manage institutional capital and securitize loans",United States of America,"['Fintech', 'Machine Learning']",Acquired
597,W14,"Axoni is a New York-based technology firm that builds multi-party workflows and infrastructure for some of the largest financial institutions in the world. Founded in 2013, the company offers core data infrastructure, application development, and automation tools. ",United States of America,"['Fintech', 'SaaS']",Acquired
648,W14,"Media companies, brands and celebrities used Vidpresso to create the best quality live videos, typically for Facebook Live and Twitter. Vidpresso was acquired in 2018 by Facebook.",United States of America,"['Video', 'Media']",Acquired
646,W14,"Predictive analytics for user churn. We use machine learning to help you identify when, and why, your users are leaving.

We're building data science tools and predictive analytics solutions for businesses who want value without headcount. Our platform will also include ways for people to collaborate on datasets and analyses. We're in beta, but we have several companies using our product right now. Data science is a high demand field and want to democratize it for all companies to use.

Framed Data was acquired by Block in 2016.",United States of America,['Analytics'],Acquired
645,W14,"Avametric is a privately-held AR and simulation company working to revolutionize the fashion and retail industries. We were founded in 2012 and centrally located in the thriving San Francisco neighborhood of SOMA. Our software platform provides automated content creation for brands, retail & e-commerce sales tools, and increased efficiency in garment design & development. By working on both enterprise-facing tools for design and consumer-facing tools for virtual fitting rooms, we are excited to transform visualization experiences in fashion and bring traditionally physical experiences to the virtual space. 

We are proudly backed and supported by our lead investors at Khosla Ventures and, together, we look forward to changing the way people shop and design clothing globally.

Sound like you? Find your fit at our careers page: https://www.avametric.com/careers/",United States of America,"['Augmented Reality', 'E-Commerce', 'Fashion']",Acquired
637,W14,"Gobble prepares farm fresh 10-minute gourmet dinner kits with 3-step instructions delivered to your door. Our weekly delivery includes three thoughtfully hand-crafted dinner kits filled with fresh pre-chopped and par-cooked ingredients (along with a gorgeous recipe card!) for you to create Michelin-worthy dinners in your very own kitchen.

Gobble offers the convenience associated with takeout along with the health, satisfaction, and freshness of a home-cooked meal. With Michael Mina protege, Thomas Ricci, as our Executive Chef, we're engineering our best recipes into one pan dinner kits so anyone can cook and make a gourmet meal with 1 pan in under 10 minutes.",United States of America,['Subscriptions'],Acquired
632,W14,"Zesty empowers companies to be healthier and more productive.

Our team creates tailored, world-class food programs for offices
with 20 to 1000+ employees. We work with hundreds of
clients serving balanced and delicious breakfasts,
lunches, dinners, happy hours and special events.

Curated by in-house dietitians, Zesty works with hundreds of
the best Bay Area restaurants, including Souvla, Delfina,
Oren's Hummus, and Nopalito — providing nutrition facts on
every dish.

Every meal is delivered and served by Zesty's own Catering
Captains, offering the reliability and hospitality of an in-house
caterer combined with the variety of dozens of cuisines.

We have raised over $20M in funding top Silicon Valley investors including Index Ventures, Founders Fund, Forerunner Ventures, SV Angel and Y Combinator. Our two-floor office building is located in the sunny Potrero Hill district of San Francisco. You can learn more about our values and open positions at http://zesty.com/jobs",United States of America,,Acquired
631,W14,"Natural Language for the Internet of Things.

Wit.ai is an API that makes it easy for developers to build applications and devices that you can talk to. Any app, any device can use Wit.ai to take natural language input (speech or text message) from users and turn it into a command.

Wit.ai is a Y Combinator company based in Palo Alto, and funded by Andreessen Horowitz.",United States of America,"['Developer Tools', 'NLP', 'APIs']",Acquired
